waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

1740 frames  57.4 fps  35 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.8 ms   
1770 frames  57.4 fps  35 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.8 ms   
1800 frames  57.5 fps  36 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.7 ms   
1830 frames  57.5 fps  36 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.7 ms   
1860 frames  57.5 fps  36 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.7 ms   
1890 frames  57.6 fps  36 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.7 ms   
1920 frames  57.6 fps  36 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.7 ms   
1950 frames  57.6 fps  37 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.7 ms   
1980 frames  57.7 fps  37 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.7 ms   
2010 frames  57.7 fps  37 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.7 ms   
2040 frames  57.7 fps  38 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.6 ms   
2070 frames  57.8 fps  38 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.6 ms   
2100 frames  57.8 fps  38 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.6 ms   
2130 frames  57.8 fps  39 Mbps  worst gap 331.3 ms  0 lost  pc 20.3 ms  console 10.6 ms   
2160 frames  57.9 fps  40 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.6 ms   
2190 frames  57.9 fps  40 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.6 ms   
2220 frames  57.9 fps  41 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.6 ms   
2250 frames  58.0 fps  42 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.6 ms   
2280 frames  58.0 fps  42 Mbps  worst gap 331.3 ms  0 lost  pc 20.4 ms  console 10.6 ms   
2310 frames  58.0 fps  43 Mbps  worst gap 331.3 ms  0 lost  pc 20.5 ms  console 10.6 ms   
2340 frames  58.0 fps  43 Mbps  worst gap 331.3 ms  0 lost  pc 20.5 ms  console 10.6 ms   
2370 frames  58.1 fps  43 Mbps  worst gap 331.3 ms  0 lost  pc 20.5 ms  console 10.6 ms   
2400 frames  58.0 fps  44 Mbps  worst gap 331.3 ms  0 lost  pc 20.5 ms  console 10.6 ms   
