=== viewer launch 1 at 23:07:03
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

1710 frames  56.5 fps  21 Mbps  worst gap 292.1 ms  0 lost  pc 20.3 ms  console 12.1 ms   
1740 frames  56.4 fps  20 Mbps  worst gap 292.1 ms  0 lost  pc 20.3 ms  console 12.2 ms   
1770 frames  56.5 fps  20 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 12.1 ms   
1800 frames  56.4 fps  20 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 12.2 ms   
1830 frames  56.5 fps  20 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 12.2 ms   
1860 frames  56.5 fps  20 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 12.2 ms   
1890 frames  56.6 fps  21 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 12.1 ms   
1920 frames  56.6 fps  21 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 12.1 ms   
1950 frames  56.7 fps  21 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 12.0 ms   
1980 frames  56.7 fps  21 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 12.0 ms   
2010 frames  56.8 fps  21 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 11.9 ms   
2040 frames  56.8 fps  21 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 11.8 ms   
2070 frames  56.9 fps  22 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 11.8 ms   
2100 frames  56.9 fps  22 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 11.8 ms   
2130 frames  56.9 fps  22 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 11.7 ms   
2160 frames  57.0 fps  22 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.7 ms   
2190 frames  57.0 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.6 ms   
2220 frames  57.0 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.6 ms   
2250 frames  57.1 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.6 ms   
2280 frames  57.1 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.5 ms   
2310 frames  57.2 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.5 ms   
2340 frames  57.2 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.4 ms   
2370 frames  57.2 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 19.9 ms  console 11.4 ms   
2400 frames  57.3 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 19.9 ms  console 11.4 ms   
2430 frames  57.3 fps  23 Mbps  worst gap 292.1 ms  0 lost  pc 19.9 ms  console 11.4 ms   
2460 frames  57.3 fps  24 Mbps  worst gap 292.1 ms  0 lost  pc 19.9 ms  console 11.3 ms   
2490 frames  57.4 fps  24 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.3 ms   
2520 frames  57.4 fps  25 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.3 ms   
2550 frames  57.4 fps  26 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.3 ms   
2580 frames  57.4 fps  26 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.3 ms   
2610 frames  57.5 fps  27 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.2 ms   
2640 frames  57.5 fps  27 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.2 ms   
2670 frames  57.5 fps  27 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.2 ms   
2700 frames  57.6 fps  28 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.2 ms   
2730 frames  57.6 fps  28 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.2 ms   
2760 frames  57.6 fps  29 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.2 ms   
2790 frames  57.6 fps  29 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.1 ms   
2820 frames  57.7 fps  29 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.1 ms   
2850 frames  57.7 fps  30 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.1 ms   
2880 frames  57.7 fps  30 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.1 ms   
2910 frames  57.7 fps  30 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.1 ms   
