waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

2610 frames  59.5 fps  98 Mbps  worst gap 68.3 ms  0 lost   
2640 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
2670 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
2700 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
2730 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
2760 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
2790 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
2820 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
2850 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
2880 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
2910 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
2940 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
2970 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
3000 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
3030 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
3060 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
3090 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
3120 frames  59.6 fps  98 Mbps  worst gap 68.3 ms  0 lost   
3150 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3180 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3210 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3240 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3270 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3300 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3330 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3360 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3390 frames  59.6 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3420 frames  59.7 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3450 frames  59.7 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3480 frames  59.7 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3510 frames  59.7 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3540 frames  59.7 fps  99 Mbps  worst gap 68.3 ms  0 lost   
3570 frames  59.7 fps  100 Mbps  worst gap 68.3 ms  0 lost   
3600 packets, 3600 frames shown/decoded, 0 not decoded, 0 lost (frame-number gaps), 748.0 MB, 59.9 fps, worst gap 68.3 ms, decode avg 0.04 ms
packets=3600 frames=3600 undecoded=0 lost=0
