=== viewer launch 1 at 23:39:48
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

2910 frames  57.4 fps  25 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 17.9 ms   
2940 frames  57.5 fps  26 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 17.9 ms   
2970 frames  57.5 fps  26 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.0 ms   
3000 frames  57.5 fps  26 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.0 ms   
3030 frames  57.5 fps  27 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.0 ms   
3060 frames  57.6 fps  27 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.0 ms   
3090 frames  57.6 fps  28 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.0 ms   
3120 frames  57.6 fps  28 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.1 ms   
3150 frames  57.6 fps  28 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.1 ms   
3180 frames  57.6 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.1 ms   
3210 frames  57.7 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.1 ms   
3240 frames  57.7 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.2 ms   
3270 frames  57.7 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.2 ms   
3300 frames  57.7 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.2 ms   
3330 frames  57.7 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.2 ms   
3360 frames  57.8 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.2 ms   
3390 frames  57.8 fps  29 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.2 ms   
3420 frames  57.8 fps  30 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.2 ms   
3450 frames  57.8 fps  30 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.3 ms   
3480 frames  57.8 fps  30 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.3 ms   
3510 frames  57.8 fps  30 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.3 ms   
3540 frames  57.8 fps  30 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.3 ms   
3570 frames  57.9 fps  31 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.3 ms   
3600 frames  57.8 fps  31 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.3 ms   
3630 frames  57.9 fps  31 Mbps  worst gap 279.9 ms  0 lost  pc 20.2 ms  console 18.3 ms   
3660 frames  57.9 fps  31 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3690 frames  57.9 fps  31 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3720 frames  57.9 fps  32 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3750 frames  57.9 fps  32 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3780 frames  57.9 fps  32 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3810 frames  57.9 fps  33 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3840 frames  58.0 fps  33 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3870 frames  58.0 fps  33 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3900 frames  58.0 fps  33 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3930 frames  58.0 fps  34 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.2 ms   
3960 frames  58.0 fps  34 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.3 ms   
3990 frames  58.0 fps  34 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.3 ms   
4020 frames  58.0 fps  35 Mbps  worst gap 279.9 ms  0 lost  pc 20.3 ms  console 18.3 ms   
4050 frames  58.1 fps  35 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4080 frames  58.1 fps  35 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4110 frames  58.1 fps  36 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4140 frames  58.1 fps  36 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4170 frames  58.1 fps  36 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4200 frames  58.1 fps  36 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4230 frames  58.1 fps  36 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4260 frames  58.2 fps  36 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4290 frames  58.2 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4320 frames  58.2 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4350 frames  58.2 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4380 frames  58.2 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4410 frames  58.2 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4440 frames  58.2 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.4 ms   
4470 frames  58.2 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4500 frames  58.3 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4530 frames  58.3 fps  37 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4560 frames  58.3 fps  38 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4590 frames  58.3 fps  38 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4620 frames  58.3 fps  38 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4650 frames  58.3 fps  38 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
