=== viewer launch 1 at 23:50:58
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

1710 frames  56.4 fps  18 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.9 ms   
1740 frames  56.4 fps  18 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.9 ms   
1770 frames  56.5 fps  17 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.8 ms   
1800 frames  56.2 fps  17 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.9 ms   
1830 frames  56.3 fps  18 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.9 ms   
1860 frames  56.3 fps  18 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.8 ms   
1890 frames  56.4 fps  19 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 15.8 ms   
1920 frames  56.4 fps  19 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.8 ms   
1950 frames  56.5 fps  19 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.7 ms   
1980 frames  56.5 fps  19 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.7 ms   
2010 frames  56.6 fps  20 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.7 ms   
2040 frames  56.6 fps  20 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.7 ms   
2070 frames  56.7 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.8 ms   
2100 frames  56.7 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 15.9 ms   
2130 frames  56.7 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.0 ms   
2160 frames  56.8 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.1 ms   
2190 frames  56.8 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.1 ms   
2220 frames  56.8 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.2 ms   
2250 frames  56.9 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.2 ms   
2280 frames  56.9 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.2 ms   
2310 frames  57.0 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.3 ms   
2340 frames  57.0 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.4 ms   
2370 frames  57.0 fps  21 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.4 ms   
2400 frames  57.1 fps  22 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.5 ms   
2430 frames  57.1 fps  22 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.6 ms   
2460 frames  57.1 fps  23 Mbps  worst gap 232.3 ms  0 lost  pc 20.2 ms  console 16.7 ms   
2490 frames  57.1 fps  23 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.7 ms   
2520 frames  57.2 fps  24 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.7 ms   
2550 frames  57.2 fps  24 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.7 ms   
2580 frames  57.2 fps  25 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.7 ms   
2610 frames  57.3 fps  25 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.7 ms   
2640 frames  57.3 fps  25 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.7 ms   
2670 frames  57.3 fps  25 Mbps  worst gap 232.3 ms  0 lost  pc 20.3 ms  console 16.7 ms   
2700 frames  57.3 fps  26 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 16.7 ms   
2730 frames  57.4 fps  26 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 16.7 ms   
2760 frames  57.4 fps  27 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 16.8 ms   
